Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.000048,0.005000,0.538000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000084,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000124,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000160,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000196,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000232,0.000000,0.538000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000268,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000304,0.005000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000344,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000380,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000416,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000452,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000488,0.005000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000524,0.005000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000564,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000600,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000636,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000672,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000708,0.000000,0.538000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000744,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000784,0.000000,0.538000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000820,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000856,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000892,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000928,0.005000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.000964,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001004,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001040,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001076,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001112,0.005000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001148,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001184,0.005000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001220,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001260,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001296,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001332,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001368,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001404,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001440,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001480,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001516,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001552,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001588,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001624,0.005000,0.538000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001660,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001700,0.000000,0.538000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001736,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001772,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001808,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001844,0.005000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001880,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001920,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001956,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.001992,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002028,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002068,0.005000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002104,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002140,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002176,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002212,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002248,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002288,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002324,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002360,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002396,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002432,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002468,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002508,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002544,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002580,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002616,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002652,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002688,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002728,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002764,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002800,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002836,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002872,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
0.002908,0.000000,0.533000,80.386000,2.180000,0.000000,0.027000,0.000000
